revolt	 n. 反抗；造反，起义 v. 起义；反抗
specialist	 n. 专家
carpet	 n. 地毯
meditation	 n. 默想，冥想；沉思，深思，思考
persist	 v. 坚持；执意；继续存在[发生]；持续
avoid	 v. 防止，避免；逃避，避开
yellow	 adj. 黄的，黄色的 n. 黄色
consult	 v. 请教，向...咨询；找...商量；查阅，查看
assume	 v. 假定，设想；开始掌管/承担责任等；假装[装出]…的态度/样子/表情等
doctorate	 n. 博士学位;博士头衔
resultant	 adj. 作为结果而发生的
fuse	 n. 保险丝；导火线,引信 v. 结合; 融合; 熔合
very	 adv. 很，非常；完全 adj. 同一的，正是的，恰好的
critic	 n. 批评家,评论家
ingenious	 adj. 〔计划、主意或物体〕精巧的，巧妙的
continent	 n. 大陆,洲
residence	 n. 住处,住宅
puppet	 n. 木偶；傀儡
consultant	 n. 顾问；会诊医师,顾问医生
preparation	 n. 准备,预备；制剂,制备品
presume	 v. 推测；擅自行动；假定
transistor	 n. 晶体管
precedent	 n. 先例
capacity	 n. 容量,容积；容纳人数；能力
party	 n. 聚会；政党 v. 尽情欢乐
equation	 n. (数学)等式,方程式；制衡局面
commence	 v. 开始
neglect	 v. 忽视，忽略 n. 疏忽
contemporary	 adj. 现代的,当代的；发生[存在]于同一时代的
continuous	 adj. 连续的,持续的
solution	 n. 解决办法；解答；溶解,溶液
decision	 n. 决定，抉择；决定；判决，裁决
care	 n. 照顾，照料 v. 关心，在意
politician	 n. 政治家,政客
critical	 adj. 批评的,评论的；紧要的，关键性的
obtain	 v. 获得,得到
resistant	 adj. (to)抵抗的,有抵抗力的
pose	 n. 姿势，姿态 v. 造成，引起，产生
vivid	 adj. 生动的,栩栩如生的；〔色彩、图案〕鲜艳的，鲜明的
millimeter	 n. (millimetre)毫米
shiver	 v. 战栗,发抖 n. 战栗,发抖
escalate	 v. 使…加剧; 加剧
graduate	 n. 大学毕业生 v. 大学毕业 adj. （攻读）研究生的
spirit	 n. 精神；情绪,心情
contradiction	 n. 矛盾，不一致；反驳，否认
value	 n. 价值；重要性，用处，益处 v. 尊重，重视；给…估价，给…估值
bathe	 v. 洗澡；给…洗；游泳；浸洗; 浸泡
success	 n. 成就，成功；成功的事物，有成就的人
genuine	 adj. 真正的
port	 n. 港口
currency	 n. 通货，货币；流传，通行
prosperity	 n. 繁荣,兴旺
expand	 v. (使)膨胀,(使)扩张；使…发展; 发展
woman	 n. (pl)women妇女，成年女子
manage	 v. 经营,管理,；设法做成，努力完成；管理 (时间、金钱等)
exceptional	 adj. 例外的；异常的
satisfaction	 n. 满足,满意
mood	 n. 心情,情绪
enterprise	 n. 事业,企(事)业单位；事业心,进取心
consequently	 adv. 结果，因此，所以
invade	 v. 入侵,侵略,侵袭；侵扰
correct	 adj. 正确的；恰当的,端正的 v. 矫正；改正,纠正
symmetry	 n. 对称(性)
helmet	 n. 头盔,钢盔
time	 n. 时间；钟点，时刻；次，回
view	 n. 观点，意见；视力；视野；视线；风景，美景；风景照；风景画 v. 认为；观察;认为
receipt	 n. 收据,收条；收到,接到
management	 n. 经营,管理；管理层；管理（方式）
perfect	 adj. 完美的；完全的 v. 使完美
conductor	 n. 指挥；售票员；导体
objective	 n. 目标,目的 adj. 客观的,真实的
beverage	 n. (水，酒等之外的)饮料
manipulate	 v. 操纵，控制；(熟练地)使用，操作；(巧妙地)处理
counterpart	 n. 对应的人(或物)
persecute	 v. 迫害
marital	 adj. 婚姻的,夫妻之间的
spiral	 adj. 螺旋形的 n. 螺旋，螺线 v. 螺旋上升；盘旋
designate	 v. 任命,指派；标明,表示
provide	 v. 提供,供应,供给；规定
symposium	 n. 讨论会,专题报告会；专题论文集
technical	 adj. 技术(性)的，工艺的；专业性的
individual	 adj. 个别的,单独的；独特的 n. 个人,个体
present	 adj. 出席的；现在的 n. 礼物；现在 v. 赠送；提出
mercury	 n. 水银,汞
level	 n. 水平，水准；等级 v. 弄平，铺平 adj. 水平的
simply	 adv. 简直；仅仅,只是；朴素地
excursion	 n. 短途旅行,游览
bandage	 n. 绷带 v. 用绷带扎缚
gene	 n. 基因
recycle	 v. 再循环,重复利用
president	 n. 总统；总裁,校长,会长,主席
sensible	 adj. 明智的,合理的；可觉察的,明显的
bare	 adj. 赤裸的；空的 v. 露出,暴露
definition	 n. 定义,解释；(轮廓影像等的)清晰度
reception	 n. 欢迎，接待；反响；招待会；接受,接收效果
prince	 n. 王子；亲王
distract	 v. 分散;使分心
accommodate	 v. 向…提供住处
secretary	 n. 秘书,书记；部长,大臣
county	 n. (英国)郡,(美国)县
presence	 n. 出席,到场,存在
pardon	 n. 原谅,宽恕 interjection. 请重复一遍 v. 赦免
merry	 adj. 欢乐的,愉快的
convert	 v. 变换,转换；改变（信仰等）
limit	 n. 限度，极限 v. (to)限制,限定
cover	 v. 覆盖；包括,涉及 n. (书的)封面；盖子,套子
evident	 adj. 明显的,明白的
criminal	 n. 罪犯,刑事犯 adj. 犯罪的,刑事的
signify	 v. 表示,意味；要紧,有重要性
beside	 prep. 在...旁边，在...附近；和...相比
manual	 adj. 手工的,体力的 n. 手册,指南
dorm	 n. 同dormitory,宿舍
circus	 n. 马戏团,杂技团;马戏场,杂技场
bathroom	 n. 浴室;盥洗室,卫生间
romantic	 adj. 浪漫的；传奇式的；不切实际的,好幻想的
reform	 v. 改革,改造,改良 n. 改革,改造,改良
acre	 n. 英亩；田地；地产
universe	 n. 宇宙,万物
execute	 v. 处死；实行;实施;执行;履行；完成
inspire	 v. 鼓舞,激起；使产生灵感
timid	 adj. 胆怯的,怯懦的
sideways	 adv&adj. 向旁边(的),侧身,横着(的),斜着(的)
controversial	 adj. 引起争论的,有争议的
captive	 n. 俘虏 adj. 被俘虏的,被监禁的
expansion	 n. 扩张,膨胀;张开,伸展
discourse	 n. 演说；谈话；话语 v. 讲述,著述
finance	 n. 财政,金融 v. 为…提供资金
contact	 n. 联系,交往；接触 v. 联系
criticism	 n. 批评，指责，非难；评论性的文章，评论
motive	 n. 动机,目的 adj. 发动的,运动的
pregnant	 adj. 怀孕的；富有意义的
magnify	 v. 放大,扩大；夸大,夸张
approval	 n. 批准，通过；赞成，同意
parasite	 n. 寄生虫,食客
extraordinary	 adj. 异乎寻常的；令人惊奇的；非凡的，出色的
closet	 n. (壁)橱 v. 把…引进密室会谈；把…关在小房间里
slow	 adj. 慢的,不活跃的 v. (down)(使)放慢,减速
possess	 v. 拥有
daytime	 n. 白天,日间
common	 adj. 常见的，普遍的；共同的 n. 公地
marriage	 n. 结婚,婚姻；结婚仪式
particle	 n. 微粒,极小量；粒子
diagnose	 v. 诊断(疾病)；判断(问题)
assignment	 n. 任务；作业
concert	 n. 音乐会,演奏会
centimetre	 n. (centimeter)厘米
herd	 n. 群,兽群,牛群 v. 群集；放牧
expect	 v. 预期；期望,指望
incidence	 n. 发生率
monster	 n. 怪物,妖怪,畸形的动植物
mobilize	 v. (mobilise)动员,赋予可动性；赋予可动性
prove	 v. 证明,证实；证明是，结果是,表明是
advantage	 n. 有利条件，优势；好处，优点
fragment	 n. 碎片,小部分,片断
consume	 v. 消耗；消费；吃；喝
arithmetic	 n. 算术，四则运算
fisherman	 n. 渔夫，捕鱼人
succeed	 v. 成功；接替；继…之后
locate	 v. 查出,探出,查找…地点；使…坐落于,位于
portion	 n. 一部分,一份
capsule	 n. 胶囊；太空舱
low	 adj. 低，矮；低级的，下层的，卑贱的；低声的
represent	 v. 代表,代理；描述,表示
competent	 adj. 有能力的，能胜任的
vacuum	 n. 真空
manifest	 v. 表明,证明,显示 adj. 明显的
evolve	 v. 进化；(使)发展;(使)进展
furniture	 n. 家具
composition	 n. 组成,成分；〔音乐、诗歌或文字〕作品；作文
director	 n. 导演；指导者,主任
manager	 n. 经理,管理人
synthesis	 n. (pl.syntheses)综合,合成
conspicuous	 adj. 显眼的,明显的
tempo	 n. (音乐的)速度；节奏,行进速度
thermometer	 n. 温度计
intelligence	 n. 智力,聪明;理解力；情报,消息,报导
ecology	 n. 生态学
doom	 n. 厄运,劫数 v. 注定,命定
insulate	 v. 使绝缘,使绝热；隔离,孤立
March	 n. 三月(略作 Mar.)
policy	 n. 政策,方针
pronoun	 n. 代词
astronomy	 n. 天文学
conduct	 n. 行为,品行 v. 指挥(乐队)；传导；引导
fiction	 n. 小说；虚构,编造
specimen	 n. 标本,样本
successful	 adj. 圆满的；顺利的；成功的
architecture	 n. 建筑学；建筑风格，建筑设计
department	 n. 部,局,处,科,部门;系,学部
blow	 v. 吹；〔风〕吹，刮；吹奏 n. 打击
dignity	 n. (举止,态度等的)庄严,端庄；尊贵，尊严
fur	 n. 毛,毛皮
pray	 v. 祈祷,祈求；请求,恳求,祈求
carrot	 n. 胡萝卜
contemplate	 v. 考虑；深思；细想；注视，凝视
gradual	 adj. 逐渐的,逐步的
advisable	 adj. 可取的，适当的，明智的
report	 n. 报告,汇报 v. 报道
upgrade	 v. 提升,使升级
temperament	 n. 气质，性格，性情
generation	 n. 文释义：一代人；产生
discovery	 n. 被发现的事物；发现
barrier	 n. 障碍；栅栏,障碍(物)
review	 v. 回顾,复习 n. 评论
model	 n. 模型；样式,型号；模特 v. 当模特；作为模特向顾客展示
invite	 v. 邀请,招待
congratulation	 n. (on)祝贺
dividend	 n. 红利，股息
separate	 adj. 分离的,分开的
superficial	 adj. 肤浅的,浅薄的；表面的
precise	 adj. 精确的,准确的
hollow	 adj. 空的,中空的;；空洞的,无价值的 v. 使〔表面〕凹陷,挖空,凿空
member	 n. 成员,会员
sometimes	 adv. 不时，有时，间或
discover	 v. 发现
recipient	 adj. 接受的,感受性强的 n. 接受者
spokesman	 n. 发言人
circumstance	 n. 情况，情形
agent	 n. 代理人；代理商
indispensable	 adj. (to,for)必不可少的,必需的
appreciate	 v. 为...表示感激，感谢；欣赏，赏识
monthly	 adj. 每月的 adv. 每月一次,按月 n. 月刊
amid	 prep. 在…中间，在…之中，被…围绕
isolate	 v. 隔离,孤立
poll	 n. 民意测验 v. 获得…选票
cognitive	 adj. 认知的，认识能力的
sequence	 n. 顺序，次序
concept	 n. 概念，观念，设想
solve	 v. 解决,解答
barren	 adj. 贫瘠的；不育的；(植物)不结果的
revolve	 v. (使)旋转
circuit	 n. 环行,环形道路；电路,线路
fraction	 n. 小部分,一点儿；分数
sane	 adj. 心智健全的,神志清醒的；明智的
carry	 v. 运送,搬运
membership	 n. 会员资格,成员资格
geology	 n. 地质(学)
certain	 adj. 一定的,确信的,可靠的
indicate	 v. 表明，显示；指出,指示；表明,暗示
monotonous	 adj. 单调的,无变化的
miracle	 n. 奇迹,令人惊奇的人(或事)
deduct	 v. 扣除
produce	 v. 引起，导致；制造；制作；创作 n. 产品
temptation	 n. 引诱，诱惑；诱惑物
prospect	 n. 前途,展望；前景
simultaneous	 adj. 同时的,同时存在的
subsidy	 n. 补助金；津贴费
underestimate	 v. 低估，看轻
obligation	 n. 义务,责任
sample	 n. 样品,标本,抽样检查 v. 取样,采样
manufacture	 v. 制造,加工 n. 制造,制造业
